Desc	Orthogroup	AmyTra	ArcPla	BomMor	DanPle	EupSim	GynQin	HelArm	LymMon	ManSex	OpeBru	OrgAnt	PluXyl	SpoLit	TriNi
(null)	OG0000081	4	12	0	2	9	8	3	6	7	4	7	0	6	2
(null)	OG0000082	5	0	9	0	3	0	3	2	8	0	8	8	15	9
(null)	OG0000083	2	2	1	1	4	2	3	3	9	3	5	26	6	3
(null)	OG0000084	1	0	9	0	1	0	1	4	7	12	1	21	7	6
(null)	OG0000085	2	7	13	1	19	2	2	9	1	5	5	3	1	0
(null)	OG0000086	7	8	2	1	5	7	4	4	6	6	6	7	4	2
(null)	OG0000087	4	5	5	5	6	4	3	4	8	5	2	7	5	6
(null)	OG0000088	2	7	6	3	2	7	5	2	15	4	2	3	5	6
(null)	OG0000089	6	5	6	5	4	4	5	5	5	3	5	5	5	6
(null)	OG0000090	2	10	2	2	3	6	9	13	2	0	3	0	8	9
(null)	OG0000091	0	16	4	0	5	18	0	6	1	1	16	2	0	0
(null)	OG0000092	0	0	2	6	2	24	4	6	16	0	8	0	1	0
(null)	OG0000093	8	1	14	10	5	1	1	5	7	5	3	2	1	5
(null)	OG0000094	1	5	9	0	7	13	6	6	3	6	0	0	2	10
(null)	OG0000095	0	6	0	1	4	6	0	1	1	42	4	1	0	0
(null)	OG0000096	3	10	1	4	4	5	7	8	4	1	6	4	4	4
(null)	OG0000097	3	10	20	4	2	2	7	0	1	7	0	7	1	0
(null)	OG0000098	2	4	4	4	7	5	5	5	4	4	7	3	6	4
(null)	OG0000099	4	3	2	4	3	5	8	4	7	1	4	3	8	7
(null)	OG0000100	1	1	2	1	5	6	13	13	2	0	8	2	4	5
(null)	OG0000101	7	5	0	3	5	4	5	5	5	0	5	4	6	8
(null)	OG0000102	3	2	1	2	0	25	1	0	6	1	0	19	1	1
(null)	OG0000103	2	2	2	2	2	8	3	2	5	8	3	6	7	10
(null)	OG0000104	7	11	3	4	3	2	4	6	3	2	4	1	8	3
(null)	OG0000105	5	9	1	0	2	4	5	7	3	7	7	1	7	3
(null)	OG0000106	1	0	9	1	1	0	1	0	5	9	1	29	0	4
(null)	OG0000107	0	0	0	0	0	0	0	0	61	0	0	0	0	0
(null)	OG0000108	3	10	0	2	3	8	4	11	1	5	5	1	2	5
(null)	OG0000109	1	3	0	1	20	7	6	2	3	2	10	1	3	1
(null)	OG0000110	3	5	2	7	7	4	3	5	4	2	6	5	3	4
(null)	OG0000111	0	5	5	1	0	0	0	47	1	0	0	0	1	0
(null)	OG0000112	4	8	15	3	2	3	3	3	2	3	3	1	6	3
(null)	OG0000113	2	0	0	0	1	0	4	0	4	0	0	16	15	17
(null)	OG0000114	1	4	3	0	7	0	3	6	0	8	7	3	13	4
(null)	OG0000115	1	9	6	1	6	1	5	5	7	0	3	1	8	5
(null)	OG0000116	4	4	4	4	4	4	6	3	5	5	3	4	4	4
(null)	OG0000117	6	9	1	0	2	14	0	5	3	4	3	3	8	0
(null)	OG0000118	2	3	4	3	3	3	5	4	15	0	3	1	8	4
(null)	OG0000119	0	0	0	0	19	0	0	36	0	0	2	0	1	0
(null)	OG0000120	0	0	0	0	0	1	0	0	0	1	56	0	0	0
(null)	OG0000121	7	7	2	14	0	3	4	4	3	3	0	2	4	4
(null)	OG0000122	5	8	10	0	0	0	1	0	2	4	0	17	4	6
(null)	OG0000123	2	4	5	0	0	15	2	15	0	1	1	0	9	3
(null)	OG0000124	4	1	6	0	0	2	1	0	3	13	0	1	19	6
(null)	OG0000125	3	2	2	0	0	2	1	3	2	12	2	12	15	0
(null)	OG0000126	4	5	0	5	4	4	4	3	4	5	4	4	4	6
(null)	OG0000127	4	9	1	0	2	1	0	3	1	32	1	2	0	0
(null)	OG0000128	1	4	1	0	6	6	5	12	4	0	2	1	9	5
(null)	OG0000129	3	8	7	0	0	3	3	1	8	13	0	2	4	3
(null)	OG0000130	9	1	2	1	2	3	5	10	2	1	1	6	7	5
(null)	OG0000131	2	2	13	2	5	1	2	1	3	6	8	7	2	1
(null)	OG0000132	0	10	5	0	2	0	7	7	2	1	11	2	5	3
(null)	OG0000133	0	3	0	0	1	16	3	7	0	6	11	3	3	2
(null)	OG0000134	0	0	1	0	0	0	0	53	0	0	1	0	0	0
(null)	OG0000135	7	0	2	8	4	4	5	3	4	2	2	5	5	3
(null)	OG0000136	5	3	0	2	5	5	4	7	7	2	7	1	2	4
(null)	OG0000137	10	1	15	1	1	1	1	3	6	1	4	7	2	1
(null)	OG0000138	4	3	1	1	1	4	1	1	2	3	4	14	8	7
(null)	OG0000139	5	10	5	8	3	0	0	10	1	0	6	2	2	1
(null)	OG0000140	1	1	12	3	2	6	3	3	4	3	6	1	5	3
(null)	OG0000141	6	2	0	0	1	8	1	0	0	19	0	9	2	5
(null)	OG0000142	2	0	1	0	2	2	3	3	1	8	2	6	20	2
(null)	OG0000143	4	3	1	3	4	3	4	4	4	4	4	5	4	5
(null)	OG0000144	4	5	3	5	2	4	4	3	4	4	1	2	5	6
(null)	OG0000145	8	2	0	3	3	3	6	6	6	1	2	1	3	8
(null)	OG0000146	1	8	0	3	2	3	5	2	9	4	1	2	5	7
(null)	OG0000147	1	6	10	1	1	2	4	2	9	1	3	2	6	4
(null)	OG0000148	15	8	1	0	0	4	1	3	1	5	9	0	1	3
(null)	OG0000149	4	3	4	3	4	2	4	3	3	4	4	5	4	4
(null)	OG0000150	17	7	2	0	1	14	0	2	1	2	2	0	2	1
(null)	OG0000151	3	1	2	2	0	8	0	5	0	23	1	2	1	3
(null)	OG0000152	3	0	1	0	0	9	3	1	4	1	1	1	3	24
(null)	OG0000153	4	4	0	3	4	4	6	3	5	2	3	3	5	5
(null)	OG0000154	5	3	0	0	3	2	4	5	5	6	5	2	6	5
(null)	OG0000155	1	6	1	4	3	2	1	6	14	4	3	0	5	1
(null)	OG0000156	3	1	0	9	4	4	2	8	4	0	2	4	5	5
(null)	OG0000157	1	6	3	16	1	0	6	5	0	3	1	6	0	3
(null)	OG0000158	0	49	1	0	0	1	0	0	0	0	0	0	0	0
(null)	OG0000159	0	3	1	4	3	5	4	5	3	1	10	0	6	6
(null)	OG0000160	0	0	0	0	0	0	0	1	0	0	0	50	0	0
(null)	OG0000161	3	4	5	4	3	3	5	5	3	4	0	4	4	3
(null)	OG0000162	4	4	0	3	3	4	4	4	4	4	3	4	4	5
(null)	OG0000163	2	0	8	5	1	2	4	8	1	11	1	4	2	1
(null)	OG0000164	0	4	3	3	3	0	5	5	11	4	2	2	3	5
(null)	OG0000165	6	3	1	4	4	1	4	3	4	5	5	3	4	2
(null)	OG0000166	1	1	7	1	1	5	2	1	14	1	0	0	7	8
(null)	OG0000167	2	3	8	3	5	2	2	3	2	12	3	3	0	0
(null)	OG0000168	2	7	4	2	1	5	6	3	4	3	3	2	4	2
(null)	OG0000169	8	1	4	6	2	1	3	2	6	3	2	3	3	4
(null)	OG0000170	5	1	3	3	3	2	7	5	3	2	3	2	6	3
(null)	OG0000171	3	3	3	1	2	2	0	5	7	9	4	5	1	3
(null)	OG0000172	3	2	7	6	3	2	1	4	4	5	3	1	3	4
(null)	OG0000173	1	5	2	1	0	1	13	3	2	3	1	1	11	4
(null)	OG0000174	2	7	2	3	0	4	8	0	4	3	0	1	5	9
(null)	OG0000175	2	5	3	1	1	6	4	1	3	1	1	2	16	2
(null)	OG0000176	2	3	0	2	10	3	2	3	9	3	4	1	4	2
(null)	OG0000177	5	1	1	0	0	0	0	5	5	1	3	23	2	2
(null)	OG0000178	1	2	1	1	3	3	8	1	1	0	2	0	7	18
(null)	OG0000179	1	5	4	5	2	4	3	3	5	4	3	3	3	2
(null)	OG0000180	1	6	1	1	2	7	5	5	5	0	5	1	5	3
(null)	OG0000181	3	0	0	1	4	5	5	5	5	0	2	5	5	7
(null)	OG0000182	7	1	5	4	1	2	7	1	5	7	0	0	4	3
(null)	OG0000183	4	5	2	5	4	3	5	3	3	1	3	3	3	3
(null)	OG0000184	1	0	0	3	0	7	1	0	1	7	2	0	17	8
(null)	OG0000185	1	4	0	3	4	4	5	4	7	3	7	1	3	1
(null)	OG0000186	1	6	2	1	3	7	4	3	2	3	4	1	5	5
(null)	OG0000187	0	3	2	0	2	1	2	2	1	0	1	4	25	4
(null)	OG0000188	7	3	4	2	2	13	0	5	1	1	1	0	1	6
(null)	OG0000189	3	4	3	3	3	2	4	3	3	4	3	4	3	4
(null)	OG0000190	10	2	1	3	2	2	2	2	9	5	3	2	2	1
(null)	OG0000191	8	5	1	0	1	0	1	1	0	21	2	3	1	2
(null)	OG0000192	3	8	3	2	3	3	4	2	1	2	3	5	4	3
(null)	OG0000193	2	0	4	0	0	0	1	1	0	1	0	37	0	0
(null)	OG0000194	1	13	1	4	3	6	1	6	2	4	2	1	2	0
(null)	OG0000195	0	0	0	0	0	0	0	45	0	0	1	0	0	0
(null)	OG0000196	4	4	2	2	3	3	2	2	4	3	3	6	3	4
(null)	OG0000197	2	2	1	1	1	4	6	2	4	2	1	4	10	5
(null)	OG0000198	9	1	0	4	3	3	3	2	1	2	3	2	9	3
(null)	OG0000199	2	1	0	0	2	2	0	26	0	6	1	2	1	2
(null)	OG0000200	1	0	0	3	5	6	8	4	5	2	4	0	3	4
(null)	OG0000201	3	5	2	3	4	2	3	6	2	1	5	3	3	3
(null)	OG0000202	3	3	3	3	3	3	3	3	5	3	3	3	4	3
(null)	OG0000203	1	7	4	1	4	2	4	5	3	1	2	3	4	4
(null)	OG0000204	1	7	1	1	2	6	4	2	1	6	5	0	4	5
(null)	OG0000205	1	1	2	0	6	1	0	1	2	2	1	18	3	7
(null)	OG0000206	1	10	0	1	3	4	7	2	2	0	4	1	6	4
(null)	OG0000207	0	3	1	0	1	12	2	8	0	2	5	1	4	6
(null)	OG0000208	0	0	6	0	0	6	2	0	1	20	0	0	3	7
(null)	OG0000209	1	3	2	2	0	1	4	0	3	2	0	8	14	4
(null)	OG0000210	5	3	3	4	3	3	3	3	3	2	3	3	3	3
(null)	OG0000211	3	3	3	4	2	3	3	2	4	4	3	3	3	4
(null)	OG0000212	2	1	3	9	1	5	3	3	6	2	2	1	2	4
(null)	OG0000213	2	3	2	2	2	2	4	3	6	1	2	4	5	6
(null)	OG0000214	2	5	1	6	3	2	2	3	3	2	2	5	6	2
(null)	OG0000215	0	6	1	0	2	6	6	1	2	13	3	1	1	2
(null)	OG0000216	5	1	1	0	0	3	0	3	0	1	28	0	0	1
(null)	OG0000217	5	3	1	2	5	4	2	2	4	2	4	3	2	4
(null)	OG0000218	2	5	3	3	3	2	2	3	3	2	2	7	3	3
(null)	OG0000219	5	4	2	5	4	2	3	2	3	1	2	4	4	2
(null)	OG0000220	5	1	2	3	1	4	5	1	4	2	1	8	4	2
(null)	OG0000221	1	2	0	0	1	7	4	2	7	3	3	11	2	0
(null)	OG0000222	3	5	2	4	3	4	4	2	3	1	1	3	4	4
(null)	OG0000223	2	0	0	0	1	1	3	7	6	7	3	11	2	0
(null)	OG0000224	4	7	2	3	0	2	5	2	3	2	1	2	5	5
(null)	OG0000225	3	1	2	1	3	1	3	5	6	4	3	5	2	4
(null)	OG0000226	3	5	0	9	2	1	5	2	2	2	3	0	4	5
(null)	OG0000227	0	0	12	0	3	0	0	1	2	3	9	13	0	0
(null)	OG0000228	3	3	3	3	3	3	3	3	3	3	3	2	3	4
(null)	OG0000229	5	8	3	0	0	5	1	6	3	0	0	1	8	2
(null)	OG0000230	2	6	2	2	3	5	3	2	2	3	3	2	2	5
(null)	OG0000231	9	3	2	0	1	4	3	3	3	0	5	4	3	2
(null)	OG0000232	5	6	3	1	1	1	5	0	0	0	0	1	16	3
(null)	OG0000233	4	2	3	3	3	1	4	3	3	4	2	3	4	3
(null)	OG0000234	13	0	0	0	0	9	0	0	0	10	0	9	0	1
